|id |nome                      |logo                                                                                                 |pontos_necessarios|regras_beneficio                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |createdAt                    |updatedAt                    |deletedAt|plataforma|
|---|--------------------------|-----------------------------------------------------------------------------------------------------|------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------|-----------------------------|---------|----------|
|2  |Vale Presente - R$50,00   |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/a0bb926e-9060-449c-b0b0-0c739f2c20bb.jpg|5.000             |Utilização no site https://www.americanas.com.br/ e no App Americanas. Não é válido para compra de outro Gift Card, Serviços, Alimentação Infantil e Americanas Mercado. Para compra de um produto pelo aplicativo, é necessário que o mesmo esteja totalmente atualizado. Para utilizar no site ou App, basta inserir o código no campo correspondente na tela de pagamento. Não há limite de Vales por compra.¶Validade de até 12 meses. Verifique a data de validade exibida no template, junto ao código.                                                                                                                                                                                                                                                                                                                                                       |2025-02-03 15:24:23.640 -0300|2025-02-03 15:24:23.640 -0300|         |Americanas|
|3  |Vale Presente - R$100,00  |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/f7e36ebe-b024-487e-a1f5-e05384b310c3.jpg|10.000            |Utilização no site https://www.americanas.com.br/ e no App Americanas. Não é válido para compra de outro Gift Card, Serviços, Alimentação Infantil e Americanas Mercado. Para compra de um produto pelo aplicativo, é necessário que o mesmo esteja totalmente atualizado. Para utilizar no site ou App, basta inserir o código no campo correspondente na tela de pagamento. Não há limite de Vales por compra.¶Validade de até 12 meses. Verifique a data de validade exibida no template, junto ao código.                                                                                                                                                                                                                                                                                                                                                       |2025-02-03 15:24:52.237 -0300|2025-02-03 15:24:52.237 -0300|         |Americanas|
|4  |Gift Card - R$30,00       |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/740e50d3-b873-4c0b-a374-4e9334cddd13.jpg|3.000             |Com o Gift Card Uber você incluí o crédito na sua conta Uber e realiza viagens enquanto houver crédito disponível. O saldo é cumulativo, o premiado poderá incluir quantos Gift Cards desejar. Passo a passo para utilização do seu Gift Card Uber: 1. Selecione Pagamento no menu do app Uber. 2. Toque em adicionar meio de pagamento e selecione Uber Pré-Pago. 3. Insira o Código.¶Validade de até 12 meses. Verifique a data de validade exibida no template, junto ao código.                                                                                                                                                                                                                                                                                                                                                                                 |2025-02-03 15:25:45.226 -0300|2025-02-03 15:25:45.226 -0300|         |Uber      |
|5  |Gift Card - R$50,00       |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/2075d912-40a6-4337-9daa-cc60a40b4186.jpg|5.000             |Com o Gift Card Uber você incluí o crédito na sua conta Uber e realiza viagens enquanto houver crédito disponível. O saldo é cumulativo, o premiado poderá incluir quantos Gift Cards desejar. Passo a passo para utilização do seu Gift Card Uber: 1. Selecione Pagamento no menu do app Uber. 2. Toque em adicionar meio de pagamento e selecione Uber Pré-Pago. 3. Insira o Código.¶Validade de até 12 meses. Verifique a data de validade exibida no template, junto ao código.                                                                                                                                                                                                                                                                                                                                                                                 |2025-02-03 15:26:13.689 -0300|2025-02-03 15:26:13.689 -0300|         |Uber      |
|6  |Cartão Presente - R$30,00 |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/f4bbde1f-1840-4959-aed4-96902d68122f.jpg|3.000             |Utilização em todas as lojas físicas C&A, no site https://www.cea.com.br/ e App C&A. Para utilizar, basta apresentar como forma de pagamento nos caixas das lojas ou, no site e App, inserir o código no campo correspondente na tela de pagamento. Não há limite de Cartões por compra nas lojas físicas. Para compras no site e App, o pagamento está limitado a 1 (um) Cartão, independente do valor total da compra. Na utilização de 2 (dois) ou mais Cartões Presentes, o valor da compra não poderá ultrapassar R$ 210,00. Não é válido para pagamento de fatura, compras parceladas, produtos financeiros, troca por dinheiro ou compra de outro Cartão Presente.¶Validade de até 12 meses. Verifique a data de validade exibida no template, junto ao código.                                                                                              |2025-02-03 15:27:15.019 -0300|2025-02-03 15:27:15.019 -0300|         |C&A       |
|7  |Cartão Presente - R$50,00 |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/e996324b-4267-4490-9c17-4e348f327765.jpg|5.000             |Utilização em todas as lojas físicas C&A, no site https://www.cea.com.br/ e App C&A. Para utilizar, basta apresentar como forma de pagamento nos caixas das lojas ou, no site e App, inserir o código no campo correspondente na tela de pagamento. Não há limite de Cartões por compra nas lojas físicas. Para compras no site e App, o pagamento está limitado a 1 (um) Cartão, independente do valor total da compra. Na utilização de 2 (dois) ou mais Cartões Presentes, o valor da compra não poderá ultrapassar R$ 210,00. Não é válido para pagamento de fatura, compras parceladas, produtos financeiros, troca por dinheiro ou compra de outro Cartão Presente.¶Validade de até 12 meses. Verifique a data de validade exibida no template, junto ao código.                                                                                              |2025-02-03 15:27:46.271 -0300|2025-02-03 15:27:46.271 -0300|         |C&A       |
|9  |Cartão Presente - R$50,00 |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/74e0e818-0e60-44c4-a75f-73883624d932.jpg|5.000             |Utilização em toda rede bandeirada Carrefour, Hiper, Super, Market, Express, Drogaria, Posto e Outlet. Também é aceito no site https://www.carrefour.com.br/, em todas as categorias, exceto Mercado e Drogaria. Confira a cobertura de entrega da sua região através do site, inserindo seu CEP para consulta. Não é aceito no Atacadão e caixas sem operador (autoatendimento). Para utilizar, basta apresentar como forma de pagamento nos caixas das lojas ou, no site, inserir o código e senha no campo "Adicionar um Cartão Presente" na tela de pagamento. Limite de 2 (dois) Cartões para efetivação de compra nas lojas físicas e 5 (cinco) no site. Não há valor mínimo de consumo.¶Validade de até 6 meses móveis, a cada recarga mínima de R$ 10 o saldo se renova por mais 6 meses. Verifique a data de validade exibida no template, junto ao código.|2025-02-03 15:28:59.254 -0300|2025-02-03 15:28:59.254 -0300|         |Carrefour |
|8  |Cartão Presente - R$100,00|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/b89bd09b-a860-42f4-855b-ca45508c73eb.jpg|10.000            |Utilização em toda rede bandeirada Carrefour, Hiper, Super, Market, Express, Drogaria, Posto e Outlet. Também é aceito no site https://www.carrefour.com.br/, em todas as categorias, exceto Mercado e Drogaria. Confira a cobertura de entrega da sua região através do site, inserindo seu CEP para consulta. Não é aceito no Atacadão e caixas sem operador (autoatendimento). Para utilizar, basta apresentar como forma de pagamento nos caixas das lojas ou, no site, inserir o código e senha no campo "Adicionar um Cartão Presente" na tela de pagamento. Limite de 2 (dois) Cartões para efetivação de compra nas lojas físicas e 5 (cinco) no site. Não há valor mínimo de consumo.¶Validade de até 6 meses móveis, a cada recarga mínima de R$ 10 o saldo se renova por mais 6 meses. Verifique a data de validade exibida no template, junto ao código.|2025-02-03 15:28:33.587 -0300|2026-01-09 08:44:03.803 -0300|         |Carrefour |
|10 |Cartão Presente - R$30,00 |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/da2726a8-1d12-4480-86b8-6219d534a469.jpg|3.000             |Utilização exclusiva no https://clube.netshoes.com.br/giftty. Para utilizar, vincule seu Cartão Presente a um CPF/CNPJ através do site e aproveite descontos em produtos selecionados. O desconto será aplicado diretamente no carrinho. Válido apenas para produtos vendidos e entregues por Netshoes. Não acumulativo com outras promoções e cupons do site. Os descontos não são válidos para as categorias Suplementos, Bikes, Equipamentos Fitness, Saúde e Bem Estar, Jogos, Eletrônicos e nem para Combos, Kits, produtos com selo Mega Chance e selo Pré-Venda. Após vincular o código a um CPF/CNPJ, o crédito ficará disponível no Menu ‘Vales’ e o saldo será apresentado na hora de escolher a forma de pagamento. Limite de 5 (cinco) Cartões por CPF.¶Validade de até 6 meses. Verifique a data de validade exibida no template, junto ao código.     |2025-02-03 15:36:31.706 -0300|2025-02-03 15:36:31.706 -0300|         |Netshoes  |
