|id |nome                     |id_estado|createdAt                    |updatedAt                    |
|---|-------------------------|---------|-----------------------------|-----------------------------|
|1  |Alta Floresta D´oeste    |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|2  |Ariquemes                |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|3  |Cabixi                   |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|4  |Cacoal                   |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|5  |Cerejeiras               |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|6  |Colorado do Oeste        |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|7  |Corumbiara               |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|8  |Costa Marques            |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|9  |Espigão D´oeste          |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|10 |Guajará-mirim            |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|11 |Jaru                     |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|12 |Ji-paraná                |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|13 |Machadinho D´oeste       |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|14 |Nova Brasilândia D´oeste |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|15 |Ouro Preto do Oeste      |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|16 |Pimenta Bueno            |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|17 |Porto Velho              |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|18 |Presidente Médici        |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|19 |Rio Crespo               |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|20 |Rolim de Moura           |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|21 |Santa Luzia D´oeste      |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|22 |Vilhena                  |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|23 |São Miguel do Guaporé    |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|24 |Nova Mamoré              |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|25 |Alvorada D´oeste         |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|26 |Alto Alegre Dos Parecis  |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|27 |Alto Paraíso             |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|28 |Buritis                  |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|29 |Novo Horizonte do Oeste  |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|30 |Cacaulândia              |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|31 |Campo Novo de Rondônia   |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|32 |Candeias do Jamari       |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|33 |Castanheiras             |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|34 |Chupinguaia              |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|35 |Cujubim                  |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|36 |Governador Jorge Teixeira|1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|37 |Itapuã do Oeste          |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|38 |Ministro Andreazza       |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|39 |Mirante da Serra         |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|40 |Monte Negro              |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|41 |Nova União               |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|42 |Parecis                  |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|43 |Pimenteiras do Oeste     |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|44 |Primavera de Rondônia    |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|45 |São Felipe D´oeste       |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|46 |São Francisco do Guaporé |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|47 |Seringueiras             |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|48 |Teixeirópolis            |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|49 |Theobroma                |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|50 |Urupá                    |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|51 |Vale do Anari            |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|52 |Vale do Paraíso          |1        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|53 |Acrelândia               |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|54 |Assis Brasil             |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|55 |Brasiléia                |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|56 |Bujari                   |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|57 |Capixaba                 |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|58 |Cruzeiro do Sul          |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|59 |Epitaciolândia           |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|60 |Feijó                    |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|61 |Jordão                   |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|62 |Mâncio Lima              |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
