|id |id_usuario|id_pesquisa_produto|id_pesquisa_subcategoria|id_resposta_pesquisa|id_produto|comentario                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |createdAt                    |updatedAt                    |deletedAt|
|---|----------|-------------------|------------------------|--------------------|----------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------|-----------------------------|---------|
|1  |36        |42                 |                        |                    |6.173     |Gosto muito do sabor mas não gosto da aparência                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |2025-11-10 18:05:22.129 -0300|2025-11-10 18:05:22.129 -0300|         |
|2  |27.553    |                   |104                     |                    |3.028     |gosto de consumir o abacaxi dessa marca¶                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |2025-12-07 17:48:16.922 -0300|2025-12-07 17:48:16.922 -0300|         |
|3  |27.555    |                   |6                       |                    |2.839     |Não recebi o produto na minha casa !                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |2025-12-12 12:25:44.476 -0300|2025-12-12 12:25:44.476 -0300|         |
|4  |27.558    |                   |104                     |                    |3.028     |Sem palavras para descrever o sabor do abacaxi porque o mundo é muito maravilhoso o abacaxi puro imagine com calda com calda fica muito suculento                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |2025-12-14 23:49:02.777 -0300|2025-12-14 23:49:02.777 -0300|         |
|5  |27.558    |                   |311                     |                    |5.945     |Muito legal fazer parte dessa pesquisa de desses produtos porque nós que consumimos eles e por nosso consumimos é legal a gente participar porque a gente vai saber que vai ser bom para o mercado do trabalho ou não                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |2025-12-14 23:52:51.706 -0300|2025-12-14 23:52:51.706 -0300|         |
|6  |27.558    |                   |29                      |                    |2.372     |Chocolate três corações é o melhor que tem muito saboroso os melhores chocolates que pena atualmente                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |2025-12-14 23:59:05.673 -0300|2025-12-14 23:59:05.673 -0300|         |
|7  |27.558    |42                 |                        |                    |4.691     |Acho quase importo é o melhor que tem era prestígio não tem para ninguém ou melhor chocolate existe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |2025-12-15 00:04:37.756 -0300|2025-12-15 00:04:37.756 -0300|         |
|8  |27.558    |                   |30                      |                    |6.289     |Aos produtos da vigor um dos melhores produtos que existe eu nem fico nem se compara as outras marcas                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |2025-12-15 00:07:29.712 -0300|2025-12-15 00:07:29.712 -0300|         |
|9  |27.558    |                   |196                     |                    |2.447     |Interessante aplicativo poletência poder testar antes de chegar os mercados                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |2025-12-15 00:14:07.878 -0300|2025-12-15 00:14:07.878 -0300|         |
