|id |cnpj          |createdAt                    |updatedAt                    |nome_fantasia                                                             |razao_social                                                              |id_cidade|cep     |bairro               |logradouro                      |numero|complemento    |nome_contato         |email_empresa      |ativo|plano |link_imagem                                                                                           |
|---|--------------|-----------------------------|-----------------------------|--------------------------------------------------------------------------|--------------------------------------------------------------------------|---------|--------|---------------------|--------------------------------|------|---------------|---------------------|-------------------|-----|------|------------------------------------------------------------------------------------------------------|
|67 |0             |2024-05-30 17:53:10.872 -0300|2024-05-30 17:53:10.872 -0300|GUARANA ANTARCTICA                                                        |GUARANA ANTARCTICA                                                        |         |        |                     |                                |      |               |                     |                   |     |1     |                                                                                                      |
|81 |0             |2024-05-30 18:17:21.368 -0300|2024-05-30 18:17:21.368 -0300|NOVA ALIANCA                                                              |NOVA ALIANCA                                                              |         |        |                     |                                |      |               |                     |                   |     |1     |                                                                                                      |
|65 |0             |2024-05-30 17:52:37.158 -0300|2024-05-30 17:52:37.158 -0300|DELAKASA                                                                  |DELAKASA                                                                  |         |        |                     |                                |      |               |                     |                   |     |1     |                                                                                                      |
|45 |0             |2024-05-30 17:32:58.191 -0300|2024-05-30 17:32:58.191 -0300|VITAO                                                                     |VITAO                                                                     |         |        |                     |                                |      |               |                     |                   |     |1     |                                                                                                      |
|30 |0             |2024-05-30 17:27:28.609 -0300|2024-05-30 17:27:28.609 -0300|COPRA                                                                     |COPRA                                                                     |         |        |                     |                                |      |               |                     |                   |     |1     |                                                                                                      |
|75 |0             |2024-05-30 18:12:46.264 -0300|2024-05-30 18:12:46.264 -0300|MID                                                                       |MID                                                                       |         |        |                     |                                |      |               |                     |                   |     |1     |                                                                                                      |
|73 |0             |2024-05-30 18:11:39.757 -0300|2024-05-30 18:11:39.757 -0300|POP                                                                       |POP                                                                       |         |        |                     |                                |      |               |                     |                   |     |1     |                                                                                                      |
|37 |0             |2024-05-30 17:29:32.962 -0300|2024-05-30 17:29:32.962 -0300|MOLICO                                                                    |MOLICO                                                                    |         |        |                     |                                |      |               |                     |                   |     |1     |                                                                                                      |
|58 |0             |2024-05-30 17:44:35.150 -0300|2024-05-30 17:44:35.150 -0300|FLEISCHMANN                                                               |FLEISCHMANN                                                               |         |        |                     |                                |      |               |                     |                   |     |1     |                                                                                                      |
|53 |0             |2024-05-30 17:36:41.374 -0300|2024-05-30 17:36:41.374 -0300|DUX                                                                       |DUX                                                                       |         |        |                     |                                |      |               |                     |                   |     |1     |                                                                                                      |
|49 |0             |2024-05-30 17:33:22.825 -0300|2024-05-30 17:33:22.825 -0300|VITARELLA                                                                 |VITARELLA                                                                 |         |        |                     |                                |      |               |                     |                   |     |1     |                                                                                                      |
|24 |0             |2024-05-30 17:26:32.437 -0300|2024-05-30 17:26:32.437 -0300|SCOTTI                                                                    |SCOTTI                                                                    |         |        |                     |                                |      |               |                     |                   |     |1     |                                                                                                      |
