|id |nome               |sigla|createdAt                    |updatedAt                    |
|---|-------------------|-----|-----------------------------|-----------------------------|
|1  |Rondônia           |RO   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|2  |Acre               |AC   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|3  |Amazonas           |AM   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|4  |Roraima            |RR   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|5  |Pará               |PA   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|6  |Amapá              |AP   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|7  |Tocantins          |TO   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|8  |Maranhão           |MA   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|9  |Piauí              |PI   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|10 |Ceará              |CE   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|11 |Rio Grande do Norte|RN   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|12 |Paraíba            |PB   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|13 |Pernambuco         |PE   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|14 |Alagoas            |AL   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|15 |Sergipe            |SE   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|16 |Bahia              |BA   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|17 |Minas Gerais       |MG   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|18 |Espírito Santo     |ES   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|19 |Rio de Janeiro     |RJ   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|20 |São Paulo          |SP   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|21 |Paraná             |PR   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|22 |Santa Catarina     |SC   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|23 |Rio Grande do Sul  |RS   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|24 |Mato Grosso do Sul |MS   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|25 |Mato Grosso        |MT   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|26 |Goiás              |GO   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
|27 |Distrito Federal   |DF   |2024-06-04 11:40:53.065 -0300|2024-06-04 11:40:53.065 -0300|
