|id |descricao    |id_empresa|createdAt                    |updatedAt                    |
|---|-------------|----------|-----------------------------|-----------------------------|
|2  |Analista     |23        |2025-01-23 17:23:01.469 -0300|2025-01-23 17:23:01.469 -0300|
|3  |Administrador|212       |2025-02-24 09:56:22.394 -0300|2025-02-24 09:56:22.394 -0300|
|4  |Administrador|213       |2025-03-20 09:10:29.361 -0300|2025-03-20 09:10:29.361 -0300|
|5  |Admin        |82        |2025-04-02 17:50:25.485 -0300|2025-04-02 17:50:25.485 -0300|
|6  |Administrador|214       |2026-01-11 11:47:00.205 -0300|2026-01-11 11:47:00.205 -0300|
|7  |Administrador|215       |2026-01-28 17:00:10.773 -0300|2026-01-28 17:00:10.773 -0300|
|8  |Administrador|216       |2026-01-28 17:15:11.523 -0300|2026-01-28 17:15:11.523 -0300|
|9  |Administrador|217       |2026-01-28 17:18:06.570 -0300|2026-01-28 17:18:06.570 -0300|
|10 |Administrador|218       |2026-01-28 17:21:08.305 -0300|2026-01-28 17:21:08.305 -0300|
|11 |Administrador|219       |2026-01-29 10:30:06.312 -0300|2026-01-29 10:30:06.312 -0300|
|12 |Administrador|220       |2026-01-29 11:50:30.417 -0300|2026-01-29 11:50:30.417 -0300|
|13 |Administrador|221       |2026-01-29 11:53:04.730 -0300|2026-01-29 11:53:04.730 -0300|
|14 |Administrador|222       |2026-01-30 15:04:35.183 -0300|2026-01-30 15:04:35.183 -0300|
|15 |Administrador|223       |2026-02-01 19:24:52.591 -0300|2026-02-01 19:24:52.591 -0300|
