|id |id_grupo_usuario_empresa|id_permissao_empresa|createdAt                    |updatedAt                    |
|---|------------------------|--------------------|-----------------------------|-----------------------------|
|10 |2                       |1                   |2025-01-23 17:23:01.495 -0300|2025-01-23 17:23:01.495 -0300|
|11 |2                       |2                   |2025-01-23 17:23:01.495 -0300|2025-01-23 17:23:01.495 -0300|
|12 |2                       |3                   |2025-01-23 17:23:01.495 -0300|2025-01-23 17:23:01.495 -0300|
|13 |2                       |4                   |2025-01-23 17:23:01.495 -0300|2025-01-23 17:23:01.495 -0300|
|14 |2                       |7                   |2025-01-23 17:23:01.495 -0300|2025-01-23 17:23:01.495 -0300|
|15 |2                       |10                  |2025-01-23 17:23:01.495 -0300|2025-01-23 17:23:01.495 -0300|
|16 |2                       |11                  |2025-01-23 17:23:01.495 -0300|2025-01-23 17:23:01.495 -0300|
|17 |3                       |1                   |2025-02-24 09:56:22.405 -0300|2025-02-24 09:56:22.405 -0300|
|18 |3                       |2                   |2025-02-24 09:56:22.411 -0300|2025-02-24 09:56:22.411 -0300|
|19 |3                       |3                   |2025-02-24 09:56:22.415 -0300|2025-02-24 09:56:22.415 -0300|
|20 |3                       |4                   |2025-02-24 09:56:22.419 -0300|2025-02-24 09:56:22.419 -0300|
|21 |3                       |5                   |2025-02-24 09:56:22.423 -0300|2025-02-24 09:56:22.423 -0300|
|22 |3                       |6                   |2025-02-24 09:56:22.431 -0300|2025-02-24 09:56:22.431 -0300|
|23 |3                       |7                   |2025-02-24 09:56:22.434 -0300|2025-02-24 09:56:22.434 -0300|
|24 |3                       |8                   |2025-02-24 09:56:22.437 -0300|2025-02-24 09:56:22.437 -0300|
|25 |3                       |9                   |2025-02-24 09:56:22.441 -0300|2025-02-24 09:56:22.441 -0300|
|26 |3                       |10                  |2025-02-24 09:56:22.444 -0300|2025-02-24 09:56:22.444 -0300|
|27 |3                       |11                  |2025-02-24 09:56:22.448 -0300|2025-02-24 09:56:22.448 -0300|
|28 |4                       |1                   |2025-03-20 09:10:29.367 -0300|2025-03-20 09:10:29.367 -0300|
|29 |4                       |2                   |2025-03-20 09:10:29.373 -0300|2025-03-20 09:10:29.373 -0300|
|30 |4                       |3                   |2025-03-20 09:10:29.377 -0300|2025-03-20 09:10:29.377 -0300|
|31 |4                       |4                   |2025-03-20 09:10:29.381 -0300|2025-03-20 09:10:29.381 -0300|
|32 |4                       |5                   |2025-03-20 09:10:29.385 -0300|2025-03-20 09:10:29.385 -0300|
|33 |4                       |6                   |2025-03-20 09:10:29.389 -0300|2025-03-20 09:10:29.389 -0300|
|34 |4                       |7                   |2025-03-20 09:10:29.394 -0300|2025-03-20 09:10:29.394 -0300|
|35 |4                       |8                   |2025-03-20 09:10:29.398 -0300|2025-03-20 09:10:29.398 -0300|
|36 |4                       |9                   |2025-03-20 09:10:29.402 -0300|2025-03-20 09:10:29.402 -0300|
|37 |4                       |10                  |2025-03-20 09:10:29.406 -0300|2025-03-20 09:10:29.406 -0300|
|38 |4                       |11                  |2025-03-20 09:10:29.411 -0300|2025-03-20 09:10:29.411 -0300|
|39 |5                       |1                   |2025-04-02 17:50:25.497 -0300|2025-04-02 17:50:25.497 -0300|
|40 |5                       |2                   |2025-04-02 17:50:25.497 -0300|2025-04-02 17:50:25.497 -0300|
|41 |5                       |3                   |2025-04-02 17:50:25.497 -0300|2025-04-02 17:50:25.497 -0300|
|42 |5                       |4                   |2025-04-02 17:50:25.497 -0300|2025-04-02 17:50:25.497 -0300|
|43 |5                       |5                   |2025-04-02 17:50:25.497 -0300|2025-04-02 17:50:25.497 -0300|
|44 |5                       |6                   |2025-04-02 17:50:25.497 -0300|2025-04-02 17:50:25.497 -0300|
|45 |5                       |7                   |2025-04-02 17:50:25.497 -0300|2025-04-02 17:50:25.497 -0300|
|46 |5                       |8                   |2025-04-02 17:50:25.497 -0300|2025-04-02 17:50:25.497 -0300|
|47 |5                       |9                   |2025-04-02 17:50:25.497 -0300|2025-04-02 17:50:25.497 -0300|
|48 |5                       |10                  |2025-04-02 17:50:25.497 -0300|2025-04-02 17:50:25.497 -0300|
