|id |nome              |createdAt                    |updatedAt                    |deletedAt                    |id_empresa|link_imagem                                                                                           |
|---|------------------|-----------------------------|-----------------------------|-----------------------------|----------|------------------------------------------------------------------------------------------------------|
|2  |AÇAÍ MOTION       |2025-03-10 13:48:40.729 -0300|2025-03-10 13:48:40.729 -0300|                             |125       |                                                                                                      |
|3  |ACTIVIA           |2025-03-10 13:48:40.938 -0300|2025-03-10 13:48:40.938 -0300|                             |126       |                                                                                                      |
|4  |ADES              |2025-03-10 13:48:41.146 -0300|2025-03-10 13:48:41.146 -0300|                             |127       |                                                                                                      |
|5  |ADRIA             |2025-03-10 13:48:41.356 -0300|2025-03-10 13:48:41.356 -0300|                             |129       |                                                                                                      |
|7  |ARCOR             |2025-03-10 13:48:41.775 -0300|2025-03-10 13:48:41.775 -0300|                             |131       |                                                                                                      |
|8  |ARISCO            |2025-03-10 13:48:41.983 -0300|2025-03-10 13:48:41.983 -0300|                             |132       |                                                                                                      |
|9  |AURORA            |2025-03-10 13:48:42.199 -0300|2025-03-10 13:48:42.199 -0300|                             |133       |                                                                                                      |
|10 |AYMORÉ            |2025-03-10 13:48:42.409 -0300|2025-03-10 13:48:42.409 -0300|                             |131       |                                                                                                      |
|12 |BARILLA           |2025-03-10 13:48:42.829 -0300|2025-03-10 13:48:42.829 -0300|                             |138       |                                                                                                      |
|13 |BATAVO            |2025-03-10 13:48:43.011 -0300|2025-03-10 13:48:43.011 -0300|                             |139       |                                                                                                      |
|14 |BAUDUCCO          |2025-03-10 13:48:43.218 -0300|2025-03-10 13:48:43.218 -0300|                             |23        |                                                                                                      |
|15 |BAVARIA           |2025-03-10 13:48:43.426 -0300|2025-03-10 13:48:43.426 -0300|                             |141       |                                                                                                      |
|17 |BLACK POWER       |2025-03-10 13:48:43.841 -0300|2025-03-10 13:48:43.841 -0300|                             |142       |                                                                                                      |
|18 |BOHEMIA           |2025-03-10 13:48:44.049 -0300|2025-03-10 13:48:44.049 -0300|                             |130       |                                                                                                      |
|19 |BRAHMA            |2025-03-10 13:48:44.257 -0300|2025-03-10 13:48:44.257 -0300|                             |130       |                                                                                                      |
|20 |BUDWEISER         |2025-03-10 13:48:44.465 -0300|2025-03-10 13:48:44.465 -0300|                             |130       |                                                                                                      |
|21 |BURN              |2025-03-10 13:48:44.669 -0300|2025-03-10 13:48:44.669 -0300|                             |144       |                                                                                                      |
|22 |CAFÉ DO PONTO     |2025-03-10 13:48:44.875 -0300|2025-03-10 13:48:44.875 -0300|                             |145       |                                                                                                      |
|24 |CATUPIRY          |2025-03-10 13:48:45.292 -0300|2025-03-10 13:48:45.292 -0300|                             |147       |                                                                                                      |
|25 |CEPÊRA            |2025-03-10 13:48:45.505 -0300|2025-03-10 13:48:45.505 -0300|                             |148       |                                                                                                      |
