|id |titulo                                             |descricao                                          |data_inicio                  |data_fim                     |ativo|createdAt                    |updatedAt                    |id_subcategoria_produto|id_categoria_produto|precisa_cadastro_completo|id_campanha|
|---|---------------------------------------------------|---------------------------------------------------|-----------------------------|-----------------------------|-----|-----------------------------|-----------------------------|-----------------------|--------------------|-------------------------|-----------|
|43 |- Água Tônica                                      |Bem-vindo(a) a foodtest!                           |2025-02-10 16:50:25.000 -0300|2031-03-01 16:50:25.000 -0300|true |2025-02-10 17:00:24.991 -0300|2025-10-20 17:05:53.893 -0300|138                    |29                  |true                     |           |
|3  |Pesquisa de mercado Biscoito Salgado               |                                                   |2025-01-28 18:42:33.000 -0300|2030-02-28 18:42:33.000 -0300|true |2025-01-28 18:49:19.393 -0300|2025-01-28 18:49:19.393 -0300|131                    |33                  |true                     |           |
|4  |Pesquisa de mercado Biscoito Doce Recheado         |Pesquisa de mercado Biscoito Doce Recheado         |2025-01-29 13:41:25.000 -0300|2030-02-02 13:41:25.000 -0300|true |2025-01-29 14:16:37.529 -0300|2025-01-29 14:16:37.529 -0300|134                    |33                  |true                     |           |
|5  |Pesquisa de mercado Torrada                        |Pesquisa de mercado Torrada                        |2025-01-29 14:17:42.000 -0300|2030-02-02 14:17:42.000 -0300|true |2025-01-29 14:50:58.673 -0300|2025-01-29 14:50:58.673 -0300|135                    |33                  |true                     |           |
|6  |Pesquisa de mercado Panettone                      |Pesquisa de mercado Panettone                      |2025-01-29 14:51:58.000 -0300|2030-02-02 14:51:58.000 -0300|true |2025-01-29 15:57:37.551 -0300|2025-01-29 15:57:37.551 -0300|139                    |33                  |true                     |           |
|7  |Pesquisa de mercado Biscoito Wafer                 |Pesquisa de mercado Biscoito Wafer                 |2025-01-29 15:58:29.000 -0300|2030-02-02 15:58:29.000 -0300|true |2025-01-29 16:24:25.505 -0300|2025-01-29 16:24:25.505 -0300|145                    |33                  |true                     |           |
|8  |Pesquisa de mercado Biscoito Doce Amanteigado      |Pesquisa de mercado Biscoito Doce Amanteigado      |2025-01-29 17:03:04.000 -0300|2030-02-02 17:03:04.000 -0300|true |2025-01-29 17:13:28.645 -0300|2025-01-29 17:13:28.645 -0300|160                    |33                  |true                     |           |
|9  |Pesquisa de mercado Biscoito Cookie                |Pesquisa de mercado Biscoito Cookie                |2025-01-29 18:02:41.000 -0300|2030-02-02 18:02:41.000 -0300|true |2025-01-29 18:17:52.964 -0300|2025-01-29 18:17:52.964 -0300|161                    |33                  |true                     |           |
|10 |Pesquisa de mercado Bolos                          |Pesquisa de mercado Bolos                          |2025-01-30 14:29:21.000 -0300|2030-02-02 14:29:21.000 -0300|true |2025-01-30 14:51:07.243 -0300|2025-01-30 14:51:07.243 -0300|171                    |33                  |true                     |           |
|11 |Pesquisa de mercado Bolo de Páscoa                 |Pesquisa de mercado Bolo de Páscoa                 |2025-01-30 14:52:11.000 -0300|2030-02-02 14:52:11.000 -0300|true |2025-01-30 15:31:58.032 -0300|2025-01-30 15:31:58.032 -0300|172                    |33                  |true                     |           |
|13 |Pesquisa de mercado Pão para Hot-Dog               |Pesquisa de mercado Pão para Hot-Dog               |2025-01-30 15:58:29.000 -0300|2030-02-02 15:58:29.000 -0300|true |2025-01-30 16:09:35.732 -0300|2025-01-30 16:09:35.732 -0300|174                    |33                  |true                     |           |
