|id |id_usuario|pontos|tipo_origem          |origem_id|data_expiracao               |observacoes                                                                                                                                                     |createdAt                    |updatedAt                    |status  |
|---|----------|------|---------------------|---------|-----------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------|-----------------------------|--------|
|1  |51        |50    |pesquisa_subcategoria|104      |2026-10-28 18:45:54.999 -0300|Pontos ganhos por responder questionário - 50 pontos                                                                                                            |2025-10-28 18:45:55.000 -0300|2025-10-28 18:45:55.000 -0300|ativo   |
|2  |51        |55    |pesquisa_produto     |214      |2026-10-28 18:45:55.236 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-10-28 18:45:55.236 -0300|2025-10-28 18:45:55.236 -0300|ativo   |
|3  |22.407    |100   |bonus                |         |2026-10-30 17:42:23.511 -0300|Cadastro completo - 100 pontos                                                                                                                                  |2025-10-30 17:42:23.512 -0300|2025-10-30 17:42:23.512 -0300|ativo   |
|4  |22.407    |50    |pesquisa_subcategoria|229      |2026-10-30 17:53:37.207 -0300|Pontos ganhos por responder questionário - 50 pontos                                                                                                            |2025-10-30 17:53:37.207 -0300|2025-10-30 17:53:37.207 -0300|ativo   |
|5  |22.407    |55    |pesquisa_produto     |177      |2026-10-30 17:53:37.415 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-10-30 17:53:37.416 -0300|2025-10-30 17:53:37.416 -0300|ativo   |
|6  |36        |50    |pesquisa_subcategoria|29       |2026-11-05 12:04:51.155 -0300|Pontos ganhos por responder questionário - 50 pontos                                                                                                            |2025-11-05 12:04:51.156 -0300|2025-11-05 12:04:51.156 -0300|ativo   |
|7  |36        |55    |pesquisa_produto     |42       |2026-11-05 12:04:51.369 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-11-05 12:04:51.369 -0300|2025-11-05 12:04:51.369 -0300|ativo   |
|8  |22.407    |50    |pesquisa_subcategoria|104      |2026-11-06 17:44:47.905 -0300|Pontos ganhos por responder questionário - 50 pontos                                                                                                            |2025-11-06 17:44:47.905 -0300|2025-11-06 17:44:47.905 -0300|ativo   |
|9  |22.407    |55    |pesquisa_produto     |214      |2026-11-06 17:44:48.207 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-11-06 17:44:48.207 -0300|2025-11-06 17:44:48.207 -0300|ativo   |
|10 |22.407    |50    |pesquisa_subcategoria|194      |2026-11-06 17:47:19.822 -0300|Pontos ganhos por responder questionário - 50 pontos                                                                                                            |2025-11-06 17:47:19.823 -0300|2025-11-06 17:47:19.823 -0300|ativo   |
|11 |22.407    |55    |pesquisa_produto     |209      |2026-11-06 17:47:20.074 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-11-06 17:47:20.074 -0300|2025-11-06 17:47:20.074 -0300|ativo   |
|12 |22.407    |55    |pesquisa_produto     |209      |2026-11-06 17:48:33.391 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-11-06 17:48:33.391 -0300|2025-11-06 17:48:33.391 -0300|ativo   |
|13 |36        |55    |pesquisa_produto     |42       |2026-11-10 18:04:31.443 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-11-10 18:04:31.444 -0300|2025-11-10 18:04:31.444 -0300|ativo   |
