|id   |gtin_ean     |nome                                                                                                   |
|-----|-------------|-------------------------------------------------------------------------------------------------------|
|6.512|7908228805656|BALA DE GELATINA MORANGO ZERO AÇÚCAR CORAÇÃO AZEDINHO FINI PACOTE 35G                                  |
|6.513|7896279600194|MARGARINA COM SAL 50% DE GORDURA COAMO PROFISSIONAL BALDE 14,5KG                                       |
|6.514|7891331850319|BARRA DE NUTS CACAU NUTRY CAIXA 300G 12 UNIDADES                                                       |
|6.515|7896279602181|MISTURA PARA BOLO COCO COAMO FÁCIL PACOTE 5KG                                                          |
|6.516|7898205925630|SOBREMESA LÁCTEA FERMENTADA FRUTAS VERMELHAS ZERO LACTOSE VERDE CAMPO POTE 200G 2 UNIDADES             |
|6.517|7898205925388|IOGURTE DESNATADO TRADICIONAL ZERO LACTOSE VERDE CAMPO NATURAL WHEY POTE 140G                          |
|6.518|7898205925395|IOGURTE DESNATADO BICAMADA FRUTAS VERMELHAS ZERO LACTOSE VERDE CAMPO NATURAL WHEY POTE 140G            |
|6.519|7898403781489|IOGURTE DESNATADO AMEIXA ZERO LACTOSE BETÂNIA YOBEM FRASCO 170G                                        |
|6.520|7898205924497|IOGURTE DESNATADO ZERO LACTOSE VERDE CAMPO LACFREE FRASCO 170G                                         |
|6.521|7898205924305|IOGURTE DESNATADO CRANBERRY E GOJI BERRY ZERO LACTOSE VERDE CAMPO LACFREE GARRAFA 500G                 |
|6.522|7898205924466|IOGURTE DESNATADO MAÇÃ, BANANA E MAMÃO ZERO LACTOSE VERDE CAMPO LACFREE FRASCO 170G                    |
|6.523|7898205925340|BEBIDA LÁCTEA UHT CARAMELO ZERO LACTOSE VERDE CAMPO NATURAL WHEY CAIXA 250ML                           |
|6.524|7898205924732|IOGURTE DESNATADO COOKIES & CREAM ZERO LACTOSE VERDE CAMPO NATURAL WHEY GARRAFA 500G                   |
|6.525|7898205924688|IOGURTE DESNATADO PASTA DE AMENDOIM ZERO LACTOSE VERDE CAMPO NATURAL WHEY FRASCO 250G                  |
|6.526|7898205924725|IOGURTE DESNATADO MORANGO ZERO LACTOSE VERDE CAMPO NATURAL WHEY GARRAFA 500G                           |
|6.527|7898205924220|IOGURTE DESNATADO MORANGO ZERO LACTOSE VERDE CAMPO 14G PROTEÍNAS NATURAL WHEY FRASCO 250G              |
|6.528|7898205925128|IOGURTE DESNATADO COCO ZERO LACTOSE VERDE CAMPO NATURAL WHEY FRASCO 250G                               |
|6.529|7898205924312|IOGURTE DESNATADO BAUNILHA ZERO LACTOSE VERDE CAMPO NATURAL WHEY FRASCO 250G                           |
|6.530|7898205923902|IOGURTE DESNATADO ZERO LACTOSE VERDE CAMPO LACFREE COPO 140G                                           |
|6.531|7898205923827|IOGURTE DESNATADO AMEIXA ZERO LACTOSE VERDE CAMPO LACFREE GARRAFA 500G                                 |
|6.532|7898205924060|IOGURTE DESNATADO MAÇÃ, BANANA E MAMÃO ZERO LACTOSE VERDE CAMPO LACFREE COPO 140G                      |
|6.533|7898205923650|IOGURTE DESNATADO MORANGO ZERO LACTOSE VERDE CAMPO LACFREE GARRAFA 500G                                |
|6.534|7898205925234|IOGURTE DESNATADO MORANGO ZERO LACTOSE VERDE CAMPO PROBIÓTICO TRIPLO ZERO GARRAFA 500G                 |
|6.535|7898205923988|IOGURTE DESNATADO NATURAL ZERO LACTOSE VERDE CAMPO LACFREE GARRAFA 500G                                |
|6.536|7896283800191|LEITE UHT DESNATADO JUSSARA MAX GARRAFA 1L                                                             |
|6.537|7898205925791|BEBIDA LÁCTEA UHT CHOCOLATE ZERO LACTOSE VERDE CAMPO NATURAL 100% WHEY CAIXA 250ML                     |
|6.538|7898205924411|BEBIDA LÁCTEA UHT CHOCOLATE ZERO LACTOSE VERDE CAMPO NATURAL WHEY CAIXA 250ML                          |
|6.539|7898064011604|REQUEIJÃO CREMOSO BETÂNIA POTE 400G EMBALAGEM ECONÔMICA                                                |
|6.540|7898403780147|LEITE UHT DESNATADO BETÂNIA CAIXA 1L                                                                   |
|6.541|7896283800238|LEITE UHT DESNATADO JUSSARA CAIXA 1L                                                                   |
|6.542|7898064011710|BEBIDA LÁCTEA UHT CAFÉ EXPRESSO ZERO LACTOSE BETÂNIA YOBEM WHEY CAIXA 250ML                            |
|6.543|7898403782103|IOGURTE DESNATADO PAPAYA COM LINHAÇA ZERO LACTOSE BETÂNIA YOBEM GARRAFA 800G                           |
|6.544|7898403782806|PACK LEITE FERMENTADO DESNATADO LARANJA TURMA DA MÔNICA BETÂNIA KIDS CAIXA 6 UNIDADES 80G CADA         |
|6.545|7898403780154|LEITE PASTEURIZADO HOMOGENEIZADO INTEGRAL BETÂNIA PACOTE 1L                                            |
|6.546|7896283800184|LEITE UHT INTEGRAL JUSSARA MAX GARRAFA 1L                                                              |
|6.547|7896283800221|LEITE UHT INTEGRAL JUSSARA CAIXA 1L                                                                    |
|6.548|7898205925357|IOGURTE DESNATADO TRADICIONAL ZERO LACTOSE VERDE CAMPO NATURAL WHEY GARRAFA 500G                       |
|6.549|7898205925180|IOGURTE DESNATADO COCO ZERO LACTOSE VERDE CAMPO LACFREE GARRAFA 500G                                   |
|6.550|7898205925142|IOGURTE DESNATADO JABUTICABA ZERO LACTOSE VERDE CAMPO NATURAL WHEY FRASCO 250G                         |
|6.551|7896183202088|REQUEIJÃO CREMOSO QUATÁ BISNAGA 400G                                                                   |
|6.552|7898205924435|IOGURTE DESNATADO COOKIES & CREAM ZERO LACTOSE VERDE CAMPO NATURAL WHEY FRASCO 250G                    |
|6.553|7898205925210|IOGURTE DESNATADO COCO ZERO LACTOSE VERDE CAMPO NATURAL WHEY GARRAFA 500G                              |
|6.554|7898205925463|IOGURTE DESNATADO CRANBERRY E GOJI BERRY ZERO LACTOSE VERDE CAMPO NATURAL WHEY FRASCO 170G             |
|6.555|7898205925470|IOGURTE DESNATADO PÊSSEGO ZERO LACTOSE VERDE CAMPO NATURAL WHEY FRASCO 170G                            |
|6.556|7896259416357|LEITE UHT INTEGRAL ZERO LACTOSE CAMPONESA CAIXA COM TAMPA 1L                                           |
|6.557|7898598750567|QUEIJO PRATO ESFÉRICO EM PEDAÇO QUATÁ 170G                                                             |
|6.558|7896183203085|QUEIJO ESTEPE QUATÁ                                                                                    |
|6.559|7898403782295|LEITE UHT SEMIDESNATADO BETÂNIA CAIXA COM TAMPA 1L                                                     |
|6.560|7896259425458|CREAM CHEESE CAMPONESA POTE 150G                                                                       |
|6.561|7898403780055|MANTEIGA DE PRIMEIRA QUALIDADE COM SAL BETÂNIA POTE 200G                                               |
|6.562|7898403780062|MANTEIGA DE PRIMEIRA QUALIDADE COM SAL BETÂNIA POTE 500G                                               |
|6.563|7896279601672|MARGARINA SEM SAL COAMO PACOTE 1,01KG                                                                  |
|6.564|7896183201029|QUEIJO PARMESÃO RALADO QUATÁ PACOTE 100G                                                               |
|6.565|7898403780499|BEBIDA LÁCTEA UHT CHOCOLATE BETÂNIA KIDS CAIXA 200ML                                                   |
|6.566|7896279602198|MISTURA PARA BOLO AIPIM COAMO FÁCIL PACOTE 5KG                                                         |
|6.567|7891048061794|MISTURA PARA BOLO CREMOSO CHOCOLATE DR. OETKER SACHÊ 300G                                              |
|6.568|7891048050736|GELATINA PÓ AÇAÍ COM BANANA DR. OETKER CAIXA 20G                                                       |
|6.569|7891048050729|GELATINA PÓ CEREJA COM AMORA SILVESTRE DR. OETKER CAIXA 20G                                            |
|6.570|7908228807322|BALA REGALIZ MORANGO E LIMÃO FINI TUBES AZEDÍSSIMO PACOTE 80G                                          |
|6.571|7896052603497|REFRIGERANTE TUTTI FRUTTI ITUBAÍNA ORIGINAL GARRAFA 355ML                                              |
|6.572|7896052606191|REFRIGERANTE TUTTI FRUTTI ITUBAÍNA ORIGINAL GARRAFA 500ML                                              |
|6.573|7896052604999|REFRIGERANTE TUTTI FRUTTI ZERO AÇÚCAR ITUBAÍNA RETRÔ LATA 350ML                                        |
|6.574|7899975802749|PICOLÉ MORANGO E FRAMBOESA DENTADURAS FINI PACOTE 50G                                                  |
|6.575|7899975801704|PICOLÉ MORANGO AZEDINHO FINI TUBES PACOTE 45G                                                          |
|6.576|7899975801995|PACK PICOLÉ MORANGO AZEDINHO FINI TUBES CAIXA 270G 6 UNIDADES                                          |
|6.577|7899975801759|PACK PICOLÉ MORANGO AZEDINHO FINI TUBES CAIXA 360G 8 UNIDADES LEVE MAIS PAGUE MENOS                    |
|6.578|7908228805670|BALA DE GELATINA LARANJA, MAÇÃ_VERDE E TUTTI FRUTTI ZERO AÇÚCAR NATUREZA FINI PACOTE 35G               |
|6.579|7898064011666|BEBIDA LÁCTEA UHT CHOCOLATE ZERO LACTOSE BETÂNIA YOBEM WHEY CAIXA 250ML                                |
|6.580|7891331850333|PACK BARRA DE NUTS SEMENTES NUTRY CAIXA 50G 2 UNIDADES                                                 |
|6.581|7891331850340|PACK BARRA DE NUTS COCO NUTRY CAIXA 50G 2 UNIDADES                                                     |
|6.582|7891331850364|PACK BARRA DE NUTS CRANBERRY NUTRY CAIXA 50G 2 UNIDADES                                                |
|6.583|7891331850265|BARRA DE NUTS CLÁSSICA NUTRY CAIXA 300G 12 UNIDADES                                                    |
|6.584|7898010690518|ARROZ TIPO 1 DOM CAMILO PACOTE 5KG_CADASTRO REALIZADO COM AMOSTRA FÍSICA DO PRODUTO                    |
