|id   |ativo|nome                                                 |link_imagem                                                                                          |gtin_ean     |slug                                                                                                |id_subcategoria_produto|id_empresa|id_categoria_produto|id_marca|lista_ingredientes|createdAt                    |updatedAt                    |
|-----|-----|-----------------------------------------------------|-----------------------------------------------------------------------------------------------------|-------------|----------------------------------------------------------------------------------------------------|-----------------------|----------|--------------------|--------|------------------|-----------------------------|-----------------------------|
|3.655|true |ENERGÉTICO TROPICAL FURIOSO LATA 473ML               |                                                                                                     |7898942055287|bebidas-nao-alcoolicas_energeticos_energetico-tropical-furioso-lata-473ml                           |125                    |164       |29                  |51      |                  |2024-12-18 21:38:17.192 -0300|2024-12-18 21:38:17.192 -0300|
|5.955|true |SPRITE ORIGINAL 220ML 6U FL CP                       |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/005d3b43-1221-468f-973e-9003d79aa808.png|7894900681178|bebidas-nao-alcoolicas_refrigerante_sprite-original-220ml-6u-fl-cp                                  |225                    |127       |29                  |129     |                  |2024-12-18 22:21:24.164 -0300|2024-12-18 22:21:24.164 -0300|
|6.008|true |TANG LARANJA LIMÃO 10DSX15UNX25G                     |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/dfd2ec91-a400-47a5-abd0-9abedddcdbcd.png|7622210655585|bebidas-nao-alcoolicas_refresco-em-po_tang-laranja-limao-10dsx15unx25g                              |403                    |150       |29                  |132     |                  |2024-12-18 22:22:25.278 -0300|2024-12-18 22:22:25.278 -0300|
|2.419|true |CAFÉ TORRADO E MOÍDO 3 CORAÇÕES EXTRAFORTE 500G VÁCUO|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/ffe1defa-5fbf-4cc3-b1fc-7c1eb35548fd.png|7896045102396|bebidas-nao-alcoolicas_cafe-em-po_cafe-torrado-e-moido-3-coracoes-extraforte-500g-vacuo             |114                    |124       |29                  |1       |                  |2024-12-18 21:14:54.005 -0300|2024-12-18 21:14:54.005 -0300|
|2.625|true |AURORA 90 TINTO C6/750                               |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/82cb752d-fb44-4636-8889-9096bc8a217a.png|7891141033896|bebidas-alcoolicas_vinho-tinto_aurora-90-tinto-c6/750                                               |152                    |133       |34                  |9       |                  |2024-12-18 21:19:11.509 -0300|2024-12-18 21:19:11.509 -0300|
|3.572|true |EMPADA DE PALMITO (36 X 90G)                         |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/779086be-d306-4641-9f3c-b38e9ee66941.png|7896074603406|congelados-e-resfriados_salgado-congelado_empada-de-palmito-(36-x-90g)                              |183                    |161       |36                  |48      |                  |2024-12-18 21:36:52.629 -0300|2024-12-18 21:36:52.629 -0300|
|3.601|true |TORTA DE FRANGO COM REQUEIJÃO FM 180G FS (18 X 180G) |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/9765b49c-5c84-45b2-9a60-93b26786dcea.png|7896074603048|congelados-e-resfriados_torta-salgada-congelada_torta-de-frango-com-requeijao-fm-180g-fs-(18-x-180g)|207                    |161       |36                  |48      |                  |2024-12-18 21:37:23.593 -0300|2024-12-18 21:37:23.593 -0300|
|4.043|true |CEREAL CORN FLAKES KELLOGGS 10X500G BAG              |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/8337f64a-552a-42cc-89b0-97af18ce600b.png|7896004006338|mercadinho_cereal-matinal_cereal-corn-flakes-kelloggs-10x500g-bag                                   |290                    |173       |32                  |69      |                  |2024-12-18 21:45:16.933 -0300|2024-12-18 21:45:16.933 -0300|
|4.637|true |NESCAFÉ CHAPADA T&M+MEL 9X290G PRPACK BR             |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/eb27cf84-03cc-4425-b654-edc739bc441a.png|7891000777244|bebidas-nao-alcoolicas_cafe-em-po_nescafe-chapada-t&m+mel-9x290g-prpack-br                          |114                    |149       |29                  |90      |                  |2024-12-18 21:56:16.045 -0300|2024-12-18 21:56:16.045 -0300|
|4.678|true |NESCAU CER MATINAL SACHET 12(16X30G) BR              |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/455b55fe-1738-4cb2-8d81-5a4b8010dfa6.png|7891000367506|mercadinho_cereal-matinal_nescau-cer-matinal-sachet-12(16x30g)-br                                   |290                    |149       |32                  |91      |                  |2024-12-18 21:56:58.225 -0300|2024-12-18 21:56:58.225 -0300|
|4.829|true |CREME DE LEITE UHT 200G PAULISTA                     |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/c42f4bfd-13ae-472e-ad38-e9111865c75e.png|7896294901825|derivados-lacteos-e-refrigerados_creme-de-leite_creme-de-leite-uht-200g-paulista                    |158                    |140       |30                  |100     |                  |2024-12-18 21:59:43.559 -0300|2024-12-18 21:59:43.559 -0300|
|5.074|true |QJ PRATO LANCHE PIRACANJUBA F3 6 X ±3KG              |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/545cc944-9d29-4ffe-a73d-a4f6421414dd.png|7898215150527|derivados-lacteos-e-refrigerados_queijo-prato_qj-prato-lanche-piracanjuba-f3-6-x-±3kg               |206                    |188       |30                  |105     |                  |2024-12-18 22:04:13.748 -0300|2024-12-18 22:04:13.748 -0300|
|5.075|true |QJ PRATO LANCHE PIRACANJUBA PQ 24 X ±500G            |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/87375c93-1c6f-4c0e-bcc6-d144d8fb70f6.png|7898215150503|derivados-lacteos-e-refrigerados_queijo-prato_qj-prato-lanche-piracanjuba-pq-24-x-±500g             |206                    |188       |30                  |105     |                  |2024-12-18 22:04:14.772 -0300|2024-12-18 22:04:14.772 -0300|
|5.091|true |WHEY PROTEIN EM PÓ PIRACANJUBA 21G CHOCOLATE 450G    |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/d8c35170-6cc9-407a-84f7-e6404295e89a.png|7898215158455|alimentos-funcionais_suplemento-proteico_whey-protein-em-po-piracanjuba-21g-chocolate-450g          |282                    |188       |39                  |105     |                  |2024-12-18 22:04:31.404 -0300|2024-12-18 22:04:31.404 -0300|
|6.060|true |SUCO DE PERA 100% TIAL                               |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/7e6bd41f-3ebc-43cc-9f82-672bea3a6c47.png|7896005311929|bebidas-nao-alcoolicas_suco_suco-de-pera-100%-tial                                                  |157                    |205       |29                  |133     |                  |2024-12-18 22:23:22.308 -0300|2024-12-18 22:23:22.308 -0300|
|6.069|true |SUCO MISTO DE MAÇÃ E MORANGO 100% TIAL               |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/7d6721ab-cec8-4b2f-99f8-3985b1640294.png|7896005311851|bebidas-nao-alcoolicas_suco_suco-misto-de-maca-e-morango-100%-tial                                  |157                    |205       |29                  |133     |                  |2024-12-18 22:23:32.392 -0300|2024-12-18 22:23:32.392 -0300|
|6.111|true |QUEIJO MUSSARELA EM PEDAÇO                           |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/80cd8e0e-cb95-48ca-8599-04ef83cc71b6.png|7896256605594|derivados-lacteos-e-refrigerados_queijo-mussarela_queijo-mussarela-em-pedaco                        |197                    |140       |30                  |134     |                  |2024-12-18 22:24:17.997 -0300|2024-12-18 22:24:17.997 -0300|
|6.115|true |QUEIJO PRATO EM PEDAÇO                               |https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/4d11b86a-86b1-4db3-aab0-c3cfa8e8cd86.png|7896256605600|derivados-lacteos-e-refrigerados_queijo-prato_queijo-prato-em-pedaco                                |206                    |140       |30                  |134     |                  |2024-12-18 22:24:21.886 -0300|2024-12-18 22:24:21.886 -0300|
