|id |id_beneficio|id_usuario|status|pontos_requisitados|plataforma|codigo_cupom                                 |valor_cupom|prazo_resgate                |createdAt                    |updatedAt                    |deletedAt|
|---|------------|----------|------|-------------------|----------|---------------------------------------------|-----------|-----------------------------|-----------------------------|-----------------------------|---------|
|2  |1           |27.541    |1     |3.000              |Americanas|                                             |           |                             |2025-08-08 22:38:57.545 -0300|2025-08-08 22:38:57.545 -0300|         |
|3  |4           |27.541    |1     |3.000              |Uber      |                                             |           |                             |2025-08-08 22:39:42.533 -0300|2025-08-08 22:39:42.533 -0300|         |
|4  |1           |27.541    |1     |3.000              |Americanas|                                             |           |                             |2025-08-08 22:39:45.968 -0300|2025-08-08 22:39:45.968 -0300|         |
|5  |1           |27.541    |1     |3.000              |Americanas|                                             |           |                             |2025-08-08 22:40:15.915 -0300|2025-08-08 22:40:15.915 -0300|         |
|6  |1           |27.541    |1     |3.000              |Americanas|                                             |           |                             |2025-08-08 22:43:11.565 -0300|2025-08-08 22:43:11.565 -0300|         |
|7  |1           |27.541    |1     |3.000              |Americanas|                                             |           |                             |2025-08-09 16:30:26.956 -0300|2025-08-09 16:30:26.956 -0300|         |
|8  |1           |27.541    |1     |3.000              |Americanas|                                             |           |                             |2025-08-09 16:50:04.518 -0300|2025-08-09 16:50:04.518 -0300|         |
|9  |1           |27.541    |1     |3.000              |Americanas|                                             |           |                             |2025-08-09 16:50:08.743 -0300|2025-08-09 16:50:08.743 -0300|         |
|10 |1           |27.541    |1     |3.000              |Americanas|                                             |           |                             |2025-08-09 16:50:56.401 -0300|2025-08-09 16:50:56.401 -0300|         |
|11 |1           |27.541    |1     |3.000              |Americanas|                                             |           |                             |2025-08-09 16:51:00.827 -0300|2025-08-09 16:51:00.827 -0300|         |
|12 |1           |27.541    |1     |3.000              |Americanas|                                             |           |                             |2025-08-09 16:51:04.322 -0300|2025-08-09 16:51:04.322 -0300|         |
|13 |1           |27.541    |1     |3.000              |Americanas|                                             |           |                             |2025-08-11 01:17:53.155 -0300|2025-08-11 01:17:53.155 -0300|         |
|1  |1           |27.541    |2     |3.000              |Americanas|629921162571114520859 e 629921165121114523876|30         |2026-07-17 00:00:00.000 -0300|2025-08-08 22:38:38.237 -0300|2025-08-12 10:42:38.739 -0300|         |
|14 |1           |51        |2     |1.000              |Americanas|89801-050                                    |30         |2025-10-17 16:06:17.016 -0300|2025-10-16 16:02:32.692 -0300|2025-10-16 16:06:19.430 -0300|         |
|15 |1           |51        |1     |1.000              |Americanas|                                             |           |                             |2025-10-16 16:34:15.355 -0300|2025-10-16 16:34:15.355 -0300|         |
|16 |1           |27.558    |1     |1.000              |Americanas|                                             |           |                             |2025-12-17 18:03:13.515 -0300|2025-12-17 18:03:13.515 -0300|         |
|17 |1           |27.558    |1     |1.000              |Americanas|                                             |           |                             |2025-12-17 18:03:32.627 -0300|2025-12-17 18:03:32.627 -0300|         |
|18 |1           |27.591    |2     |1.000              |Americanas|629921145921125747013                        |25         |2026-12-11 00:00:00.000 -0300|2025-12-29 14:28:14.864 -0300|2026-01-09 08:54:29.422 -0300|         |
|19 |5           |27.617    |1     |5.000              |Uber      |                                             |           |                             |2026-02-05 14:17:03.499 -0300|2026-02-05 14:17:03.499 -0300|         |
|20 |1           |27.617    |1     |2.500              |Americanas|                                             |           |                             |2026-02-09 07:16:15.115 -0300|2026-02-09 07:16:15.115 -0300|         |
