|id |id_pesquisa_subcategoria|id_usuario|id_produto|pontos_ganhos|resposta                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |createdAt                    |updatedAt                    |id_pesquisa_produto|
|---|------------------------|----------|----------|-------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------|-----------------------------|-------------------|
|161|                        |51        |2.857     |50           |"[{\"id_pergunta_pesquisa\":19,\"resposta\":\"8\"},{\"id_pergunta_pesquisa\":20,\"resposta\":\"8\"},{\"id_pergunta_pesquisa\":21,\"resposta\":\"8\"},{\"id_pergunta_pesquisa\":22,\"resposta\":\"8\"},{\"id_pergunta_pesquisa\":23,\"resposta\":\"8\"},{\"id_pergunta_pesquisa\":24,\"resposta\":[\"Maciez\",\"Sabor\",\"Leveza\",\"Tamanho\",\"Aparência\",\"Cor\",\"Equilíbrio de sabores\",\"Frescor\",\"Aroma\",\"Qualidade dos ingredientes\"]},{\"id_pergunta_pesquisa\":25,\"resposta\":[\"Qualidade dos ingredientes\"]},{\"id_pergunta_pesquisa\":26,\"resposta\":\"5\"},{\"id_pergunta_pesquisa\":27,\"resposta\":\"4 unidades\"},{\"id_pergunta_pesquisa\":28,\"resposta\":\"Não\"}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |2025-01-22 17:12:38.482 -0300|2025-01-22 17:12:38.482 -0300|2                  |
|163|                        |52        |2.857     |50           |"[{\"id_pergunta_pesquisa\":19,\"resposta\":\"3\"},{\"id_pergunta_pesquisa\":20,\"resposta\":\"6\"},{\"id_pergunta_pesquisa\":21,\"resposta\":\"5\"},{\"id_pergunta_pesquisa\":22,\"resposta\":\"8\"},{\"id_pergunta_pesquisa\":23,\"resposta\":\"9\"},{\"id_pergunta_pesquisa\":24,\"resposta\":[\"Aroma\",\"Cor\"]},{\"id_pergunta_pesquisa\":26,\"resposta\":\"1\"},{\"id_pergunta_pesquisa\":27,\"resposta\":\"4 unidades\"},{\"id_pergunta_pesquisa\":28,\"resposta\":\"Não\"},{\"id_pergunta_pesquisa\":25,\"resposta\":[\"Leveza\",\"Equilíbrio de sabores\",\"Frescor\"]}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |2025-01-23 17:33:32.230 -0300|2025-01-23 17:33:32.230 -0300|2                  |
|164|                        |52        |5.261     |50           |"[{\"id_pergunta_pesquisa\":19,\"resposta\":\"6\"},{\"id_pergunta_pesquisa\":20,\"resposta\":\"6\"},{\"id_pergunta_pesquisa\":21,\"resposta\":\"5\"},{\"id_pergunta_pesquisa\":22,\"resposta\":\"8\"},{\"id_pergunta_pesquisa\":23,\"resposta\":\"6\"},{\"id_pergunta_pesquisa\":24,\"resposta\":[\"Aparência\",\"Frescor\"]},{\"id_pergunta_pesquisa\":26,\"resposta\":\"2\"},{\"id_pergunta_pesquisa\":27,\"resposta\":\"4 unidades\"},{\"id_pergunta_pesquisa\":28,\"resposta\":\"Sim\"},{\"id_pergunta_pesquisa\":25,\"resposta\":[\"Leveza\",\"Aparência\"]}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |2025-01-23 17:35:40.390 -0300|2025-01-23 17:35:40.390 -0300|2                  |
|166|                        |53        |2.857     |50           |"[{\"id_pergunta_pesquisa\":19,\"resposta\":\"6\"},{\"id_pergunta_pesquisa\":20,\"resposta\":\"6\"},{\"id_pergunta_pesquisa\":21,\"resposta\":\"8\"},{\"id_pergunta_pesquisa\":22,\"resposta\":\"8\"},{\"id_pergunta_pesquisa\":23,\"resposta\":\"5\"},{\"id_pergunta_pesquisa\":24,\"resposta\":[\"Tamanho\"]},{\"id_pergunta_pesquisa\":26,\"resposta\":\"4\"},{\"id_pergunta_pesquisa\":27,\"resposta\":\"4 unidades\"},{\"id_pergunta_pesquisa\":28,\"resposta\":\"Sim\"},{\"id_pergunta_pesquisa\":25,\"resposta\":[\"Sabor\",\"Tudo no produto me agrada!\"]}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |2025-01-23 17:38:40.697 -0300|2025-01-23 17:38:40.697 -0300|2                  |
|168|                        |56        |2.857     |50           |"[{\"id_pergunta_pesquisa\":19,\"resposta\":\"9\"},{\"id_pergunta_pesquisa\":20,\"resposta\":\"9\"},{\"id_pergunta_pesquisa\":21,\"resposta\":\"9\"},{\"id_pergunta_pesquisa\":22,\"resposta\":\"9\"},{\"id_pergunta_pesquisa\":23,\"resposta\":\"9\"},{\"id_pergunta_pesquisa\":24,\"resposta\":[\"Qualidade dos ingredientes\"]},{\"id_pergunta_pesquisa\":26,\"resposta\":\"4\"},{\"id_pergunta_pesquisa\":27,\"resposta\":\"5 unidades ou mais\"},{\"id_pergunta_pesquisa\":28,\"resposta\":\"Não\"},{\"id_pergunta_pesquisa\":25,\"resposta\":[\"Tudo no produto me agrada!\"]}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |2025-01-27 15:54:08.024 -0300|2025-01-27 15:54:08.024 -0300|2                  |
|169|                        |52        |5.267     |50           |"[{\"id_pergunta_pesquisa\":19,\"resposta\":\"1\"},{\"id_pergunta_pesquisa\":20,\"resposta\":\"1\"},{\"id_pergunta_pesquisa\":21,\"resposta\":\"1\"},{\"id_pergunta_pesquisa\":22,\"resposta\":\"1\"},{\"id_pergunta_pesquisa\":23,\"resposta\":\"1\"},{\"id_pergunta_pesquisa\":24,\"resposta\":[\"Cor\"]},{\"id_pergunta_pesquisa\":26,\"resposta\":\"5\"},{\"id_pergunta_pesquisa\":27,\"resposta\":\"5 unidades ou mais\"},{\"id_pergunta_pesquisa\":28,\"resposta\":\"Sim\"},{\"id_pergunta_pesquisa\":25,\"resposta\":[\"Maciez\"]}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |2025-01-27 16:10:14.540 -0300|2025-01-27 16:10:14.540 -0300|2                  |
|170|3                       |57        |2.470     |30           |"[{\"id_pergunta_pesquisa\":38,\"resposta\":\"Ocasionalmente (1 vezes por mês)\"},{\"id_pergunta_pesquisa\":39,\"resposta\":\"Frequentemente (3-5 vezes por semana)\"},{\"id_pergunta_pesquisa\":40,\"resposta\":\"Minha família toda me incluindo\"},{\"id_pergunta_pesquisa\":41,\"resposta\":[\"Porque é uma opção leve para lanches rápidos\"]},{\"id_pergunta_pesquisa\":42,\"resposta\":[\"Qualquer tipo de biscoito salgado integral\"]},{\"id_pergunta_pesquisa\":43,\"resposta\":[\"Não compra\",\"Compra\",\"Não compra\",\"Compra\",\"Não compra\",\"Compra\",\"Compra\",\"Compra\",\"Compra\"]}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |2025-01-29 13:54:15.976 -0300|2025-01-29 13:54:15.976 -0300|                   |
|171|50                      |47        |4.421     |50           |"[{\"id_pergunta_pesquisa\":508,\"resposta\":\"Raramente (menos de uma vez a cada dois meses)\"},{\"id_pergunta_pesquisa\":509,\"resposta\":\"Nunca\"},{\"id_pergunta_pesquisa\":510,\"resposta\":\"Meu parceiro(a)\"},{\"id_pergunta_pesquisa\":511,\"resposta\":[\"Pela praticidade de preparo\",\"Para auxiliar na digestão e bem-estar\"]},{\"id_pergunta_pesquisa\":512,\"resposta\":[\"Caixa econômica (acima de 100g)\"]},{\"id_pergunta_pesquisa\":513,\"resposta\":[\"Não compra\",\"Compra\",\"Não compra\",\"Não compra\",\"Não compra\",\"Não compra\"]},{\"id_pergunta_pesquisa\":514,\"resposta\":[\"Presença de selos como \\"orgânico\\", \\"natural\\", \\"sem aditivos\\"\",\"Presença de cafeína (chá preto, chá verde) ou descafeinado\"]},{\"id_pergunta_pesquisa\":515,\"resposta\":[\"Durante viagens ou passeios\",\"Enquanto assisto TV, séries ou leio um livro\"]},{\"id_pergunta_pesquisa\":516,\"resposta\":[\"Na escola ou faculdade\",\"Em casa\"]},{\"id_pergunta_pesquisa\":517,\"resposta\":[\"Influência de propagandas ou redes sociais\",\"Tabela nutricional\",\"Preço acessível ou promoções\"]}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |2025-02-12 16:43:55.903 -0300|2025-02-12 16:43:55.903 -0300|                   |
|172|29                      |56        |2.372     |50           |"[{\"id_pergunta_pesquisa\":299,\"resposta\":\"Nunca\"},{\"id_pergunta_pesquisa\":300,\"resposta\":\"Ocasionalmente (1-3 vezes por mês)\"},{\"id_pergunta_pesquisa\":301,\"resposta\":\"Outra pessoa na minha casa\"},{\"id_pergunta_pesquisa\":302,\"resposta\":[\"Para preparar leite achocolatado para crianças\",\"Para levar como opção de bebida para o trabalho ou escola\",\"Para ter sempre uma opção doce disponível em casa\"]},{\"id_pergunta_pesquisa\":303,\"resposta\":[\"Lata tradicional (200g - 400g) \",\"Lata Premium com sabores diferenciados  (ex.: Nescau Intense 180g, Alpino Nestlé 200g, Nescau Extra Cacau 180g)\",\"Pote plástico grande (acima de 1kg)\"]},{\"id_pergunta_pesquisa\":304,\"resposta\":[\"Compra\",\"Compra\",\"Compra\",\"Compra\",\"Compra\",\"Compra\",\"Compra\",\"Compra\",\"Compra\"]},{\"id_pergunta_pesquisa\":305,\"resposta\":[\"Sabor equilibrado e intensidade do chocolate\",\"Preço acessível\"]},{\"id_pergunta_pesquisa\":306,\"resposta\":[\"Enquanto assisto TV, séries ou filmes\",\"Como acompanhamento no almoço ou jantar\"]},{\"id_pergunta_pesquisa\":307,\"resposta\":[\"Em cafeterias ou lanchonetes\"]},{\"id_pergunta_pesquisa\":308,\"resposta\":[\"Embalagem prática e conveniente (ex.: fechamento fácil, maior conservação)\",\"Preço acessível ou promoções\"]}]"                                                                                                                                                                                                                                                                                                                                                                                                               |2025-02-24 09:59:45.086 -0300|2025-02-24 09:59:45.086 -0300|                   |
