|id |titulo                                             |link_imagem|descricao                                          |id_pesquisa_produto|id_pesquisa_subcategoria|createdAt                    |updatedAt                    |
|---|---------------------------------------------------|-----------|---------------------------------------------------|-------------------|------------------------|-----------------------------|-----------------------------|
|3  |Bem-vindo(a) a foodtest!                           |           |Pesquisa de produto *Pão de hambúrguer*            |2                  |                        |2025-01-22 17:06:40.494 -0300|2025-01-22 17:06:40.494 -0300|
|5  |Pesquisa de mercado Biscoito Salgado               |           |Pesquisa de mercado Biscoito Salgado               |                   |3                       |2025-01-28 18:49:19.400 -0300|2025-01-28 18:49:19.400 -0300|
|6  |Pesquisa de mercado Biscoito Doce Recheado         |           |Pesquisa de mercado Biscoito Doce Recheado         |                   |4                       |2025-01-29 14:16:37.538 -0300|2025-01-29 14:16:37.538 -0300|
|7  |Pesquisa de mercado Torrada                        |           |Pesquisa de mercado Torrada                        |                   |5                       |2025-01-29 14:50:58.679 -0300|2025-01-29 14:50:58.679 -0300|
|8  |Pesquisa de mercado Panettone                      |           |Pesquisa de mercado Panettone                      |                   |6                       |2025-01-29 15:57:37.557 -0300|2025-01-29 15:57:37.557 -0300|
|9  |Pesquisa de mercado Biscoito Wafer                 |           |Pesquisa de mercado Biscoito Wafer                 |                   |7                       |2025-01-29 16:24:25.512 -0300|2025-01-29 16:24:25.512 -0300|
|54 |Pesquisa de produto genérica 2                     |           |Pesquisa de produto genérica 2                     |3                  |                        |2025-02-24 10:39:03.355 -0300|2025-02-24 10:39:03.355 -0300|
|10 |Pesquisa de mercado Biscoito Doce Amanteigado      |           |Pesquisa de mercado Biscoito Doce Amanteigado      |                   |8                       |2025-01-29 17:13:28.654 -0300|2025-01-29 17:44:19.425 -0300|
|11 |Pesquisa de mercado Biscoito Cookie                |           |Pesquisa de mercado Biscoito Cookie                |                   |9                       |2025-01-29 18:17:52.970 -0300|2025-01-29 18:17:52.970 -0300|
|12 |Pesquisa de mercado Bolos                          |           |Pesquisa de mercado Bolos                          |                   |10                      |2025-01-30 14:51:07.248 -0300|2025-01-30 14:51:07.248 -0300|
|13 |Pesquisa de mercado Bolo de Páscoa                 |           |Pesquisa de mercado Bolo de Páscoa                 |                   |11                      |2025-01-30 15:31:58.043 -0300|2025-01-30 15:31:58.043 -0300|
|14 |Pesquisa de mercado Pão para Hambúrguer            |           |Pesquisa de mercado Pão para Hambúrguer            |                   |12                      |2025-01-30 15:55:19.186 -0300|2025-01-30 15:55:19.186 -0300|
|15 |Pesquisa de mercado Pão para Hot-Dog               |           |Pesquisa de mercado Pão para Hot-Dog               |                   |13                      |2025-01-30 16:09:35.738 -0300|2025-01-30 16:09:35.738 -0300|
|16 |Pesquisa de mercado Pão de Alho                    |           |Pesquisa de mercado Pão de Alho                    |                   |14                      |2025-01-30 17:18:24.234 -0300|2025-01-30 17:18:24.234 -0300|
|17 |Pesquisa de mercado Mistura para Bolinho de Chuva  |           |Pesquisa de mercado Mistura para Bolinho de Chuva  |                   |15                      |2025-01-30 17:34:49.415 -0300|2025-01-30 17:34:49.415 -0300|
|18 |Pesquisa de mercado Mistura para Bolo              |           |Pesquisa de mercado Mistura para Bolo              |                   |16                      |2025-01-30 17:48:11.620 -0300|2025-01-30 17:48:11.620 -0300|
|19 |Pesquisa de mercado Biscoito de Arroz              |           |Pesquisa de mercado Biscoito de Arroz              |                   |17                      |2025-01-31 10:58:57.505 -0300|2025-01-31 10:58:57.505 -0300|
|20 |Pesquisa de mercado Biscoito de Milho              |           |Pesquisa de mercado Biscoito de Milho              |                   |18                      |2025-01-31 11:13:22.613 -0300|2025-01-31 11:13:22.613 -0300|
|21 |Pesquisa de mercado Pão de forma                   |           |Pesquisa de mercado Pão de forma                   |                   |19                      |2025-01-31 11:27:42.975 -0300|2025-01-31 11:27:42.975 -0300|
|22 |Pesquisa de mercado Pão de Forma Integral          |           |Pesquisa de mercado Pão de Forma Integral          |                   |20                      |2025-01-31 17:16:31.894 -0300|2025-01-31 17:16:31.894 -0300|
|23 |Pesquisa de mercado Pão de Forma com Coco          |           |Pesquisa de mercado Pão de Forma com Coco          |                   |21                      |2025-01-31 17:26:20.623 -0300|2025-01-31 17:26:20.623 -0300|
|24 |Pesquisa de mercado Pão de Forma com Grãos         |           |Pesquisa de mercado Pão de Forma com Grãos         |                   |22                      |2025-02-03 15:01:21.886 -0300|2025-02-03 15:01:21.886 -0300|
|25 |Pesquisa de mercado Pão de Hambúrguer Australiano  |           |Pesquisa de mercado Pão de Hambúrguer Australiano  |                   |23                      |2025-02-03 15:20:30.462 -0300|2025-02-03 15:20:30.462 -0300|
