|id |id_categoria_produto|nome                               |descricao|createdAt                    |updatedAt                    |link_imagem                                                                                          |
|---|--------------------|-----------------------------------|---------|-----------------------------|-----------------------------|-----------------------------------------------------------------------------------------------------|
|189|33                  |Pão de Alho                        |         |2024-12-18 21:25:24.831 -0300|2025-06-17 17:38:49.568 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/775615a5-447a-4f4a-851d-3f69330ac304.png|
|187|30                  |Queijo Grana                       |         |2024-12-18 21:25:09.019 -0300|2025-06-17 17:39:15.734 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/a5e248b0-bbc2-40c8-8705-751b84fa6ec8.png|
|183|36                  |Salgado Congelado                  |         |2024-12-18 21:24:53.494 -0300|2025-06-17 18:33:11.844 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/c17180a8-7996-4e50-9f39-30f319c3efa4.png|
|176|30                  |Sorvete Pote                       |         |2024-12-18 21:23:46.216 -0300|2025-06-17 18:35:44.567 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/31b16de9-3e83-4dbf-8342-c0a1afa694a0.png|
|168|30                  |Creme Quark                        |         |2024-12-18 21:22:51.978 -0300|2025-06-18 16:29:29.120 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/dcead9bd-e377-4b47-b22a-1df2f653f4d6.png|
|165|30                  |Iogurte                            |         |2024-12-18 21:22:27.358 -0300|2025-06-18 16:30:32.536 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/7c74e69d-aa55-4b22-9977-c01968e789ef.png|
|162|32                  |Macarrão com Ovos                  |         |2024-12-18 21:22:11.790 -0300|2025-06-18 16:33:31.849 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/8388ce7f-e415-4c48-92a9-4cd869111047.png|
|158|30                  |Creme de Leite                     |         |2024-12-18 21:20:03.739 -0300|2025-06-18 16:35:07.856 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/e0b54470-7a65-46ee-83cc-ae46fc46e885.png|
|155|34                  |Conhaque                           |         |2024-12-18 21:19:15.529 -0300|2025-06-18 16:36:13.254 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/78a45193-d30d-43ec-8353-39cb0a8262d8.png|
|153|34                  |Vinho Branco                       |         |2024-12-18 21:19:13.044 -0300|2025-06-18 16:39:40.857 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/b12605fa-7ff3-48ec-b66e-3c708129e10e.png|
|150|32                  |Sopas e Cremes                     |         |2024-12-18 21:18:57.288 -0300|2025-06-18 16:41:28.002 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/a216e9d3-4dd7-4143-93aa-7b0f5b9da63e.png|
